manufacturer_id	manufacturer_name
2981	CAPITAL CITY ICE
8	NATIONAL BEVERAGE CORP
7404	HEALTH ENTERPRISES INC
7864	PACIFIC HIGHWAY WINES & SPIRITS
13238	ONYX PREMIERE LLC
6378	NORTHERN LABS INC
2360	ZUBROWKA USA
4321	CONSTELLATION BRANDS, INC.
5679	DONNAMAX INC
8801	CARIBBEAN PRODUCTS LTD.
1460	BENEFICIAL BLENDS LLC
9455	MURRAY'S WORLDWIDE INC.
12906	KAY DEE MANUFACTURING CO.
8042	JENSAY INC
5158	KIDSMANIA INC
3255	BANVILLE AND JONES WINE MERCHANTS
2138	ALL FRESH PRODUCE INC
3126	WARREN DISTRIBUTION, INC.
297	GEORGE'S INC
8297	HARD-E FOODS INC
5500	DON SABROSA SALSA COMPANY
2108	MODERN CHINA CO
5136	JOHN WOODS LTD
2611	CGF INCORPORATED
5063	ROSENTHAL WINE MERCHANT
584	GULF COAST PRODUCE INC
12911	FAIRFIELD GOURMET FOODS
7447	CALDWELL CONSUMER HEALTH LLC
10263	LARRY'S BEANS
3923	TETA FOODS
6469	GOURMET NUT
9082	DR. LIN SKIN CARE INC
4041	FLORA FOODS, INC
5576	FYFFES PLC
3279	BEE FREE GLUTEN FREE BAKERY
9587	COLD STONE CREAMERY INC
8964	NATURE'S HEALTH CONNECTION INC
655	IM HEALTH SCIENCE LLC
1313	DOYNA LTD
5959	LA GUADALUPANA WHLSALE CO INC
4398	JARROW FORMULAS
8612	HOLLENDER SUSTAINABLE BRANDS LLC
5258	WINESELLERS LTD
8120	THE VINTNER GROUP
5139	ORANGE COUNTY PRODUCE LLC
11349	JOSEPH JOSEPH LIMITED
3925	REPUBLIC NATIONAL DISTRIBUTING CO
3887	MUFFIN MAN
517	JACKSON-MITCHELL PHARM. INC.
1714	LEMIX, INC.
7630	CADIE PRODUCTS CORP
10114	WINC
8540	ECHO BRIDGE ENTERTAINMENT
8566	VICTORY BREWING COMPANY
9851	DERMALOGICA INC
9576	UCHI INC USA
6336	CALIFORNIA SUN DRY FOODS
2911	MAMA LINA SAUCE CO
3827	CONCORD PREMIUM MEATS LTD
6244	NANTUCKET PASTA GODDESS INC
1269	CAMPOSOL S.A.
4294	GOLDEN VENTURES INC
9872	FRESH FROM THE FARM JUICES
11681	THAI CULINARY ARTS STUDIO LLC
12838	DAN DEE IMPORTS INC
1262	MARCHESI DI GRESY USA
7975	STEVE MILES SELECTION INC
4206	CHURCH & DWIGHT COMPANY, INC.
7898	GREAT DIVIDE BREWING CO
4822	BLUE & WHITE FOOD PRODUCTS CORPORATION
1920	HONTEX ENTERPRISES INC
10617	CLOVERLAND FARMS DAIRY INC
4844	HEALTH-ADE
13113	FATTORIA DEI FOSSILI
6067	BEACH WHISKEY LLC
9767	TORTUGA INTERNATIONAL HOLDINGS LTD
116	FORCE OF NATURE
10771	TYRA TECH INC
10747	YOWIE GROUP LTD
5267	NO RINSE LABORATORIES INC
8319	UNCLE AL'S COOKIES INC
13079	CARZALIA VALLEY INC
6494	BRINKER INTERNATIONAL
10448	SPINATO'S FINE FOODS
260	CRAZY RICHARD'S PEANUT BUTTER CO
1630	SMITH BROTHERS CO
251	CALISTOGA CELLARS
2296	NANJING REACH TRADING CO.
3433	BUENA CEPA WINES LLC
8254	PORT BREWING CO.
5780	N.B.S.P. INC.
8139	COMBE INCORPORATED
7445	GRECIAN DELIGHT FOODS INC
9515	REICHEL FOODS LLC
12858	JINRO LTD
12185	MAY FLOWERS EXPRESS LLC
9245	PASTORE'S INCORPORATED
9573	VITALITY DISTRIBUTION
2837	A. SAMBADO & SON, INC
3220	TWELVE PERCENT LLC
1521	ADVANCED FOOD CONCEPTS
9665	CLEAN CONCEPT LLC
741	ALESSANDRO'S RESTAURANT
12077	GERARD BERTRAND
8674	STOUT BREWING CO
11211	BEEHIVE CHEESE CO.
2389	VIGNOLO FARMS
1923	HOT CONCEPTS LLC
11235	EBERLII TROPICAL FLOWERS
643	ORA SURE TECHNOLOGIES INC
4507	DAY SPRING ENTERPRISES INC
7335	QUAKER MAID MEATS INC
8364	STINKBUG NATURALS LLC
12808	GREASE BEAST
9271	BLAKE'S
8680	DOMAINE SERENE
10391	ORGANIC GEMINI
692	ABS MARKETING GROUP LLC
7429	BATAMPTE PICKLE PRODUCTS INC
8148	SUN CAPITAL PARTNERS
9281	FITCH MOUNTAIN CELLARS
11692	DOUGLAS LAING CO LTD
8049	ONCE AGAIN NUT BUTTER
2671	COASTAL SEAFOOD PROCUREMENT LLC
5947	GRASSROOTS WINE WHOLESALERS LLC
5789	ZANFEL LABORATORIES INC
11380	LIBERATED SPECIALTY FOODS
7894	JW CHILDS ASSOCIATES
12924	DMD PRODUCTS LLC
765	C&D FRUIT & VEG CO
3210	KCB
3786	THE GALLAHER OUTFIT
8424	JEL SERT CO, THE
9460	SNAPRODUCTS
12507	THE COUNTRY VINTNER PTY LTD
3594	OLD LYME GOURMET COMPANY
9560	CAFE TASSE USA INC
7219	TROY MANUFACTURING
9616	MARIO CAMACHO FOODS
914	SEA DELIGHT
4943	SUNUP CO LTD
1089	PEPPERS UNLIMITED OF LA INC
4509	AVERY DENNISON CORPORATION
10872	HUMAN POWER OF N
4257	TOWER ISLES FROZEN FOODS, LTD
7598	AINSWORTH PET NUTRITION
8392	OLD WORLD BAKERY, INC.
4631	ALTA MARKETING CO.
2340	GUAN'S MUSHROOM COMPANY
7112	MOONDANCE DESSERTS
3833	AMERICA'S NATURALS LLC
1360	1000 STORIES VINEYARDS
3555	HOLISTIC ACRES
4148	DAVE'S GOURMET, INC.
11177	ISCAVO MEXICO S.A.
4807	MULTICOMP INC
3138	RICHENELLO INC.
12659	SEASONAL SPECIALTIES INC.
12751	PHARMICS INC
4563	BROSCO LLC
1734	LUCCAS COLD STORAGE
4619	SARL CHATEAU DU COUDRAY MONTPENSIER
10573	MICHAEL FARMS
6043	GOLD MINE NATURAL FOOD COMPANY
2215	ALBIE'S FOODS, INC.
11189	CRACKED CANDY LLC
3918	EATRAGEOUS INC.
2109	AJ TRUCCO INC
12165	SHROOMS SNACKS
10593	FRUTAS FINAS DE TANCITARO, S.A.
11473	BETTER PRODUCE INC
8205	BNA WINE GROUP LLC
3426	LATITUDE 42 BREWING COMPANY
703	CHIA VIVA!
1064	BEST DRESSED ASSOCIATES, INC.
10141	PEQUEA VALLEY FARM
11723	PALUANI S.P.A.
12423	SMARTLIFE CHOCOLATE LLC
6385	KHI FOODS
3165	G&D WALLACE INC
1837	THE SOYNUT BUTTER CO.
786	PAN-O-GOLD BAKING CO
4804	DAIRY FARMERS OF AMERICA INC.
5960	SAMUELS AND SONS INC
9604	DURANGO IMPORTS INC
12097	TORCHED PRODUCTS
885	SYMPHONY IMPORTERS
2313	HOMELAND HOUSEWARES LLC
738	REGAL LLC
4204	PRODUCE ELECTRONIC ID BOARD
8533	CATANIA WORLDWIDE COMPANY
10562	TOP WINES IMPORT
4610	AMERICAN INTERNATIONAL INDUSTRIES
5486	RADIATOR SPECIALTY COMPANY
6388	SDC NUTRITION
3108	UMEYA RICE CAKE CO
6584	1-800-FLOWERS.COM INC
6784	EMI YOSHI INC
7028	GLOBAL DECOR INC.
8891	WELLINGTON VINEYARDS
8643	BRITISH WHOLESALE IMPORTS, INC
9738	THE FLAVOR TREE FRUIT COMPANY LLC
5788	BENZEL'S BRETZEL BAKERY INC
4996	A & A GLOBAL INDUSTRIES
3767	JUMEX
102	THE GRILL DADDY BRUSH COMPANY
12660	DEATH WISH COFFEE CO
11163	TREAT PLANET LLC
1583	CRUNCHIES FOOD COMPANY
6666	GIBSON OVERSEAS INC.
2373	W F YOUNG INC
11793	UNFI
5692	SMARI ORGANICS INC
3545	DOMINIO DEL PLATA SA
5199	TOFUTOWN.COM GMBH
11918	LUXEBABY LLC
12635	CHEMENCE INC
4983	OLD DUTCH INTERNATIONAL LTD
609	AZIENDA MARRAMIERO S.R.L.
6761	21ST CENTURY SPIRITS LLC
9339	BIOFORCE USA
8521	JENKINS ENTERPRISES
9498	GRIMES PRODUCE CO
3145	YAKIMA FRESH LLC
7287	VIRTUS PHARMACEUTICALS LLC
7687	C. F. SAUER COMPANY, THE
1148	BROTHERS BREWING COMPANY
1546	IRENE'S BAKERY AND GOURMET KITCHEN
5839	ABG BABY INC
10753	BEST EGGS LLC
3992	LOOFAH-ART LLC
12603	THE SMART FOOD COMPANY LLC
5005	GRANTHAM DISTRIBUTING CO INC
10386	RAISON D'ETRE BAKERY
10786	MARKET SOLUTIONS GROUP LLC
5773	GRANDMA'S RECIPE LLC
10395	H:20 INNOVATIONS LLC
7656	NORTHERN UNITED BREWING CO
3283	THE ALKALOL COMPANY
2621	PACER TECHNOLOGY INC
2774	PRODUITS FORESTIERS BASQUES IN
12836	HOUDINI, INC
7863	GEORGE DELALLO CO. INC.
12360	REAL KETONES
12855	NONNA PIA'S GOURMET SAUCES LTD
2408	YELLOW ROSE DISTILLING LLC
9213	BEST ORIENTAL PRODUCE INC
2110	LONG MEADOW RANCH WINERY INC
4017	SENECA FOODS CORPORATION
6208	PEDINOL PHARMACAL INC
11155	MAHERAS, J CO INC
3828	DAIRY ENTERPRISES INC
5339	RAMIAN ESTATE
8774	NOVA WINES, INC.
13218	BORN AND BRED
3303	R. A. B. HOLDINGS, INC.
314	COMPANIA VINICOLA DEL NORTE DE ESPANA SA
4064	BRIGHT IDEAS USA
178	PACIFIC COAST PRODUCERS
3999	PAPPAS FAMILY FARMS
10615	SIMPLY DELICIOUS INC.
7593	ALL AMERICAN PET COMPANY INC
3099	ALLISON MEDICAL INC
12622	STUFFED PUFFS LLC
7006	SPARK INNOVATORS
10606	PARIMAR
8911	INTEVATION FOOD GROUP LLC
2084	REBEL GREEN LLC
11268	INSPIRED ORGANICS LLC
1167	VALU HEALTH LLC
8201	PROFORMANCE FOODS
4652	C.H. ROBINSON WORLDWIDE, INC.
4220	J. M. SMUCKER COMPANY, THE
12238	BAY VIEW PACKING COMPANY
7816	MARTIN'S POTATO CHIPS INC
2792	1812 GOURMET PRODUCTS
3372	GEORGE WESTON CORP.
3920	NATURAL SOURCES
12494	VAN BENNETT FOOD CO INC
4004	NANCY'S HOMEMADE FUDGE INC
2696	NEW VINERGIA
10322	NATURALLY NUTTY FOODS INC
6987	DUCLAW BREWING CO
10345	MOONLIGHT MEADERY LLC
2801	BB17 LLC
5988	BOULDER HOMEMADE, INC.
6342	DABELLA FOODS
12257	FLORIDA BEER CO
1268	DOMINIO DE EGUREN S.L.
10112	ARMAND DE BRIGNAC
3313	DALE & THOMAS POPCORN LLC
9358	WHITFIELD FOODS INC
1863	TITIGNANO AGRICOLA SPA
10828	SOL DEL MAULE
1384	GRANDPA BRANDS COMPANY
2595	ADMIRAL WINE & LIQUOR CO
1878	HEM AWAY LLC
3702	GOODIE GIRL INC.
8343	S. ANATOLIA DI NARCO
10590	TRANSPAC IMPORTS INC
4647	SABINE'S COLLECTIONS BRANDS LTD
5509	AMERICAN IMPORTING/EXPORTING INC
8121	SMARTY PANTS INC.
12864	MADE IN AMERICA STORE
4278	WILLIAMS SAUSAGE CO INC
1973	BOULDER BEER COMPANY
11391	B.C. BUNDT, INC
11948	HGCC LLC
8595	BOXWELL BROTHERS
5994	BASE BRANDS LLC
4670	WIND POINT PARTNERS
12103	GARAGE BREWING CO
11119	BASSETTS ICE CREAM COMPANY
11982	BUSHMANS' INC
821	OUD BEERSEL BVBA SPRL
4171	DOMAINE PIERRE GUINDON
12532	BROWNTROUT PUBLISHERS
10634	KITCHEN COOKED, INC
8644	J.C. NEWMAN CIGAR CO.
7117	TEKQUEST INDUSTRIES INC
6142	SBROCCO INTERNATIONAL INC
4464	REDBARN PET PRODUCTS INC
4628	SX BRANDS INC
11212	BERRI PRO INC
12750	SANG LABS BEVERAGES, LLC
5603	VINTNERS INTERNATIONAL CO INC
4651	ITALIAN ROSE GARLIC PRODUCTS INC
6337	TIERRA NUEVA FINE COCOA LLC
1238	LENNY & LARRY'S INC
5777	DALLA TERRA
8285	CHOYA UMESHU CO LTD
12827	DEL FRESCO PRODUCE LTD
6692	HANGOVER JOE'S HOLDING CORP
